id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
2175,LAHC11259,BSB 225 CM,,Nos,OEM,,FAN
2176,LCCR06504,C Channel – 100mm,,Kgs,OEM,,Steel
2177,LCCR06505,C Channel – 150mm,,Kgs,OEM,,Steel
2178,LAHC49103,GI Louver,,Square Meters,OEM,,Steel
2179,LAHC49104,Aluminum Louver,,Square Meters,OEM,,Steel
2180,LAHS7000,"Work In Progress Materials (Sheet, Al & Insulation)",,Nos,LUFTEK,,AHU
2181,LCCC16910,Fin Press Evaporative Oil,YBI Belpress Pre-99i,Ltrs,OEM,,CONSUMABLES
2182,LCCC16911,Hydraulic Oil - 32 Grade,YBI BelHydro -  YHB32,Ltrs,OEM,,CONSUMABLES
2183,LCCC16912,Liquimux 723N,,Kgs,OEM,,CONSUMABLES
2184,LCCC16913,Silmux G Powder,,Kgs,OEM,,CONSUMABLES
2185,LCCC16914,Silmux T Paste,,Kgs,OEM,,CONSUMABLES
2186,LAHC49103,Jet Nozzle,,Nos,OEM,,DAMPER
2187,LAHC11002,KAT 8/8 S KRUGER MAKE,,Nos,KRUGER,,FAN
2188,LAHR06251,12.7mm OD with 0.36 mm Wall Thickness Plain Tube Seamless LWC Copper,C12200 / O50 Light Annealed Complyng to ASTM Standard B68M,Kgs,OEM,,RAW MATERIAL
2189,LAHR06252,12.7mm OD with 0.5 mm Wall Thickness Plain Tube Seamless LWC Copper,C12200 / O50 Light Annealed Complyng to ASTM Standard B68M,Kgs,OEM,,RAW MATERIAL
2190,LAHR06253,12.7mm OD with 0.7 mm Wall Thickness Plain Tube Seamless Copper,C12200 / O50 Light Annealed Complyng to ASTM Standard B68M,Kgs,OEM,,RAW MATERIAL
2191,LAHR06254,9.52mm OD with 0.27mm Wall thickness Internally grooved Seamless tube LWC Copper: Groove Height-0.16mm,C12200 / O50 Light Annealed Complyng to ASTM Standard B68M,Kgs,OEM,,RAW MATERIAL
2192,LAHR06255,9.52mm OD with 0.7mm Wall thickness Plain Seamless tube LWC Copper,C12200 / O50 Light Annealed Complyng to ASTM Standard B68M,Kgs,OEM,,RAW MATERIAL
2193,LAHC14513,BAG FILTER EU5 GRADE - 592 MM (W) x 287 MM (H) x 150MM (D),,Nos,OEM,BAG FILTER,FILTER
2194,LAHC14514,BAG FILTER EU5 GRADE - 592 MM (W) x 592 MM (H) x 150MM (D),,Nos,OEM,BAG FILTER,FILTER
2195,LAHE15107,Potentiometer Controller,,Nos,OEM,,ELECTRICAL
2196,LAHC14515,PRE FILTER GRADE EU4 - 750 MM (W) x 950 MM (H) x 100MM (D),,Nos,OEM,PRE FILTER,FILTER
2197,LAHC14516,HDPE MESH FILTER - 750 MM (W) x 1000 MM (H) x 100MM (D),,Nos,OEM,MESH FILTER,FILTER
2198,LAHR05251,5/8 Inlet x 6 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2199,LAHR05252,5/8 Inlet x 8 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2200,LAHR05253,5/8 Inlet x 9 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2201,LAHR05254,7/8 Inlet x 10 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2202,LAHR05255,7/8 Inlet x 12 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2203,LAHR05256,7/8 Inlet x 14 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2204,LAHR05257,7/8 Inlet x 16 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2205,LAHR05258,7/8 Inlet x 18 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2206,LAHR05259,7/8 Inlet x 20 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2207,LAHR17201,7/8 Inches Copper Elbow,,Nos,OEM,,COPPER ITEMS
2208,LAHR17202,3/8 Inches Copper Elbow,,Nos,OEM,,COPPER ITEMS
2209,LAHR17203,1 1/8 Inches Copper Elbow,,Nos,OEM,,COPPER ITEMS
2210,LAHR17204,1 3/8 Inches Copper Elbow,,Nos,OEM,,COPPER ITEMS
2211,LAHR17205,5/8 Copper T Joint,,Nos,OEM,,COPPER ITEMS
2212,LAHR17206,3/4 Copper T Joint,,Nos,OEM,,COPPER ITEMS
2213,LAHR17207,7/8 Copper T Joint,,Nos,OEM,,COPPER ITEMS
2214,LAHR17208,1 1/8 Copper T Joint,,Nos,OEM,,COPPER ITEMS
2215,LAHR17209,1 3/8 Copper T Joint,,Nos,OEM,,COPPER ITEMS
2216,LAHR17210,1 5/8 Copper T Joint,,Nos,OEM,,COPPER ITEMS
2217,LAHR17211,5/8 x 1/2 Inch Copper Reducer,,Nos,OEM,,COPPER ITEMS
2218,LAHR17212,7/8 x 5/8 Inch Copper Reducer,,Nos,OEM,,COPPER ITEMS
2219,LAHR17213,1 1/8 x 7/8 Inch Copper Reducer,,Nos,OEM,,COPPER ITEMS
2220,LAHR17214,1 3/8 x 7/8 Inch Copper Reducer,,Nos,OEM,,COPPER ITEMS
2221,LAHR17215,1/2 Inch Copper S Bend 0.5mm Thick,27.5mm Pitch x 55mm Height,Nos,OEM,,COPPER ITEMS
2222,LAHR17216,1/2 Inch Copper U Bend 0.5mm Thick,31.75 mm Pitch x 25mm Height,Nos,OEM,,COPPER ITEMS
2223,LAHR17217,1/2 Inch Copper C Bend 0.5mm Thick,55 mm Pitch x 25mm Height,Nos,OEM,,COPPER ITEMS
2224,LAHC11260,GR40C-ZID.DC.CR,,Nos,Ziehl Abegg,,FAN
2225,LAHC11261,GR56C-ZID.GG.CR,,Nos,Ziehl Abegg,,FAN
2226,LAHC23904,ALUMINIUM FIN STOCK - 0.12mm Thick - 274mm Width for 3/8 (PLAIN),,Kgs,OEM,,ALUMINIUM PARTS
2227,LAHC23905,HYDROPHILIC COATED ALUMINIUM FIN STOCK - 0.12mm Thick - 274mm Width for 3/8,,Kgs,OEM,,ALUMINIUM PARTS
2228,LAHR06501,1 inch Seamless MS Pipe,,Meters,OEM,,MS Pipe
2229,LAHR06502,1 1/2 inch Seamless MS Pipe,,Meters,OEM,,MS Pipe
2230,LAHR06503,2 inch Seamless MS Pipe,,Meters,OEM,,MS Pipe
2231,LAHR06504,2 1/2 inch Seamless MS Pipe,,Meters,OEM,,MS Pipe
2232,LAHR06505,3 inch Seamless MS Pipe,,Meters,OEM,,MS Pipe
2233,LAHR06506,3 1/2 inch Seamless MS Pipe,,Meters,OEM,,MS Pipe
2234,LAHR06507,4 inch Seamless MS Pipe,,Meters,OEM,,MS Pipe
2235,LAHC11262,KD2 9/7  750W - 4P,,Nos,KRUGER,,FAN
2236,LCCC16915,Acetylene Gas Cylinder,,Nos,OEM,,CONSUMABLES
2237,LCCR07008,SS SHEET 304 GRADE 0.6mm THK,,Kgs,OEM,,SS SHEETS
2238,LAHC14517,PRE FILTER EU4 GRADE - 500 MM (W) x 400 MM (H) x 48MM (D),,Nos,OEM,PRE FILTER,FILTER
2239,LAHC23720,BLADE PROFILE - ALUMINUM DAMPER (6149) ,,Meters,OEM,,ALUMINIUM PROFILES
2240,LAHC23721,TOP & BOTTOM PROFILE - ALUMINUM DAMPER (6148) ,,Meters,OEM,,ALUMINIUM PROFILES
2241,LAHC23722,VERTICAL PROFILE - ALUMINUM DAMPER (6150) ,,Meters,OEM,,ALUMINIUM PROFILES
2242,LAHC15558,Cushy Foot Antivibrant ,,Nos,OEM,,ANTI-VIBRATIONS
2243,LCCC16931,Nitrogen Cylinder,,Nos,OEM,,CONSUMABLES
2244,LAHR05260,7/8 Inlet x 7 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2245,LAHR05261,7/8 Inlet x 9 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2246,LAHR05262,Purge Nipple,,Nos,OEM,,BRASS ITEMS
2247,LAHE15108,Teflon Tape,,Nos,OEM,,ELECTRICAL
2248,LAHC11263,KDD 9/7  245W - 4P,,Nos,KRUGER,,FAN
2249,LAHC11264,RDA 160 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2250,LAHC11265,RDA 180 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2251,LAHC11266,RDA 225 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2252,LAHC11267,RDA 250 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2253,LAHC11268,RDA 280 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2254,LAHC11269,RDA 315 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2255,LAHC11270,RDA 355 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2256,LAHC11271,RDA 400 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2257,LAHC11272,RDA 450 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2258,LAHC11273,RDA 500 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2259,LAHC11274,RDA 560 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2260,LAHC11275,RDA 630 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2261,LAHC11276,RDA 710 R NICOTRA MAKE,,Nos,NICOTRA,,FAN
2262,LAHC11277,RDA 800 K NICOTRA MAKE,,Nos,NICOTRA,,FAN
2263,LAHC11278,RDA 900 K NICOTRA MAKE,,Nos,NICOTRA,,FAN
2264,LAHC11279,RDA 1000 K NICOTRA MAKE,,Nos,NICOTRA,,FAN
2265,LAHC11280,RDA 1120 K NICOTRA MAKE,,Nos,NICOTRA,,FAN
2266,LAHC11281,RDA 1250 K NICOTRA MAKE,,Nos,NICOTRA,,FAN
2267,LAHC11282,RDA 1400 K NICOTRA MAKE,,Nos,NICOTRA,,FAN
2268,LAHR17218,1 inch Copper Hard Pipe,,Meters,OEM,,COPPER ITEMS
2269,LAHR17219,1 1/2 Inches Copper Hard Pipe,,Meters,OEM,,COPPER ITEMS
2270,LAHR17220,2 Inches Copper Hard Pipe,,Meters,OEM,,COPPER ITEMS
2271,LAHR17221,2 1/8 Inches Copper Hard Pipe,,Meters,OEM,,COPPER ITEMS
2272,LAHR17222,2 1/2 Inches Copper Hard Pipe,,Meters,OEM,,COPPER ITEMS
2273,LAHR17223,3 Inches Copper Hard Pipe,,Meters,OEM,,COPPER ITEMS
2274,LAHR17224,1/2 Inch Copper End Cap,,Nos,OEM,,COPPER ITEMS
2275,LAHR17225,1 Inch Copper End Cap,,Nos,OEM,,COPPER ITEMS
2276,LAHR17226,1 1/2 Inches Copper End Cap,,Nos,OEM,,COPPER ITEMS
2277,LAHR17227,1 3/8 Inches Copper End Cap,,Nos,OEM,,COPPER ITEMS
2278,LAHR17228,1 5/8 Inches Copper End Cap,,Nos,OEM,,COPPER ITEMS
2279,LAHR17229,2 Inches Copper End Cap,,Nos,OEM,,COPPER ITEMS
2280,LAHR17230,2 1/8 Inches Copper End Cap,,Nos,OEM,,COPPER ITEMS
2281,LAHR17231,2 1/2 Inches Copper End Cap,,Nos,OEM,,COPPER ITEMS
2282,LAHR17232,3  Inches Copper End Cap,,Nos,OEM,,COPPER ITEMS
2283,LAHR17233,76.5mm Copper End Cap,,Nos,OEM,,COPPER ITEMS
2284,LAHC24761,13 mm THK  Open Cell Nitrile Foam Insulation With Aluminum Foil and Self Adhesive,,Square Meters,OEM,,GASKET & INSULATION
2285,LAHR17234,3/8 Inch Copper S Bend 0.45mm Thick,22mm Pitch x 55mm Height,Nos,OEM,,COPPER ITEMS
