id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
1,LAHC14301,"ALUMINIUM FILTER FRAME 610 X 610 MM",,Nos,OEM,"FILTER FRAME",FILTER
2,LAHC11001,"KAT 7/7 S KRUGER MAKE",,Nos,KRUGER,,FAN
3,LCCC13301,"BELT A-19",,Nos,OEM,,BELT
4,LAHC11002,"KAT 8/8 S KRUGER MAKE",,Nos,KRUGER,,FAN
5,LCCE26653,"CG 15 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3",,Nos,CG,,MOTOR
6,LAHC14302,"ALUMINIUM FILTER FRAME 610 X 508 MM",,Nos,OEM,"FILTER FRAME",FILTER
7,LCCC13302,"BELT A-20",,Nos,OEM,,BELT
8,LCCC13303,"BELT A-21",,Nos,OEM,,BELT
9,LAHC24101,"HRW 500 - MS270A",,Nos,DRI,,"HEAT RECOVERY WHEEL"
10,LAHC11003,"KAT 9/7 S KRUGER MAKE",,Nos,KRUGER,,FAN
11,LCCH30001,"HEX HEAD BOLT GI M6 x 25",,Nos,OEM,,FASTENERS
12,LCCE26316,"ABB 30 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1",,Nos,ABB,,MOTOR
13,LCCH30002,"HEX HEAD BOLT GI M8 x 25",,Nos,OEM,,FASTENERS
14,LCCC13304,"BELT A-22",,Nos,OEM,,BELT
15,LAHC24102,"HRW 600 - MS270A",,Nos,DRI,,"HEAT RECOVERY WHEEL"
16,LCCE27001,"BHARATH BIJILEE 0.25 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3",,Nos,"BHARATH BIJILEE",,MOTOR
17,LAHC11004,"KAT 9/9 S KRUGER MAKE",,Nos,KRUGER,,FAN
18,LCCE26703,"SIEMENS 0.55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,SIEMENS,,MOTOR
19,LCCE26737,"SIEMENS 37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2",,Nos,SIEMENS,,MOTOR
20,LCCR07004,"SS SHEET 316 GRADE 1.2mm THK",,Kgs,OEM,,"SS SHEETS"
21,LCCE26437,"ABB 37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE3",,Nos,ABB,,MOTOR
22,LAHC24103,"HRW 700 - MS270A",,Nos,DRI,,"HEAT RECOVERY WHEEL"
23,LCCH30003,"HEX HEAD BOLT GI M10 x 25",,Nos,OEM,,FASTENERS
24,LCCC13305,"BELT A-23",,Nos,OEM,,BELT
25,LCCE26766,"SIEMENS 1.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2",,Nos,SIEMENS,,MOTOR
26,LAHC24104,"HRW 800 - MS270A",,Nos,DRI,,"HEAT RECOVERY WHEEL"
27,LCCE26404,"ABB 0.75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2",,Nos,ABB,,MOTOR
28,LCCE26723,"SIEMENS 0.55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2",,Nos,SIEMENS,,MOTOR
29,LCCC13306,"BELT A-24",,Nos,OEM,,BELT
30,LCCH30004,"HEX HEAD BOLT GI M12 x 25",,Nos,OEM,,FASTENERS
31,LAHC11005,"KAT 10/8 S KRUGER MAKE",,Nos,KRUGER,,FAN
32,LCCE26349,"ABB 5.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,ABB,,MOTOR
33,LAHC15220,"PLASTIC BUTTERFLY KNOB M6 x 25mm",,Nos,OEM,,"PLASTIC PARTS"
34,LCCC13307,"BELT A-25",,Nos,OEM,,BELT
