,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAN,FAN OMEGA,Anti vibrant,,,FM Nut insert,,,FM bolt,,,FM nut,,,FM washer,,,FAN CRITICAL,,,FC bolt,,,FC nut,,,FC washer,,,FC spring washer,,,SQ Washer,,,MOTOR CRITICAL,,,MC bolt,,,MC nut,,,MC washer,,,MC spring washer,,,FLEX - T PROFILE,,FLEX - L PROFILE,,FLEX - CANVAS,,FLEX - POP RIVET,
7-7 S,0.89,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.7,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,0.6,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,0.97,LAHC23718,0.97,LAHC23719,1.02,LAHC15557,LCCH30653,24nos
8-8 S,0.92,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.7,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,0.7,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.09,LAHC23718,1.09,LAHC23719,1.14,LAHC15557,LCCH30653,24nos
9-9 S,0.96,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.8,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,0.7,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.12,LAHC23718,1.12,LAHC23719,1.17,LAHC15557,LCCH30653,24nos
10-10 S,1.00,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.9,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,0.8,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.24,LAHC23718,1.24,LAHC23719,1.29,LAHC15557,LCCH30653,24nos
12-12S,1.07,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,2.0,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,0.9,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.47,LAHC23718,1.47,LAHC23719,1.52,LAHC15557,LCCH30653,24nos
15-15 S,1.25,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,2.4,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,1.1,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.75,LAHC23718,1.75,LAHC23719,1.80,LAHC15557,LCCH30653,24nos
18-18 S,1.37,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,2.6,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,1.2,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,2.07,LAHC23718,2.07,LAHC23719,2.12,LAHC15557,LCCH30653,24nos
7-7 S2,0.89,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.7,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,1.5,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.49,LAHC23718,1.49,LAHC23719,1.54,LAHC15557,LCCH30653,24nos
8-8 S2,0.92,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.7,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,1.7,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.66,LAHC23718,1.66,LAHC23719,1.71,LAHC15557,LCCH30653,24nos
9-9 S2,0.96,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.8,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,1.8,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.72,LAHC23718,1.72,LAHC23719,1.77,LAHC15557,LCCH30653,24nos
10-10 S2,1.00,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.9,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,2.0,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.90,LAHC23718,1.90,LAHC23719,1.95,LAHC15557,LCCH30653,24nos
12-12S2,1.07,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,2.0,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,2.4,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,2.26,LAHC23718,2.26,LAHC23719,2.31,LAHC15557,LCCH30653,24nos
15-15 S2,1.25,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,2.4,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,2.8,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,2.69,LAHC23718,2.69,LAHC23719,2.74,LAHC15557,LCCH30653,24nos
18-18 S2,1.37,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,2.6,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,3.3,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,3.18,LAHC23718,3.18,LAHC23719,3.23,LAHC15557,LCCH30653,24nos
180 R,0.228,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.7,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,0.6,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,0.91,LAHC23718,0.91,LAHC23719,0.96,LAHC15557,LCCH30653,24nos
200 R,0.256,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.7,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,0.6,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.02,LAHC23718,1.02,LAHC23719,1.07,LAHC15557,LCCH30653,24nos
225 R,0.288,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.8,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,0.7,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.15,LAHC23718,1.15,LAHC23719,1.20,LAHC15557,LCCH30653,24nos
250 R,0.322,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,1.9,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,0.8,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.29,LAHC23718,1.29,LAHC23719,1.34,LAHC15557,LCCH30653,24nos
280 R,0.36,AV25 ,LAHC15503,4nos,M8,LCCH30210,8nos,M8 x 25,LCCH30002,8nos,M8,LCCH30206,8nos,M8,LCCH30402,8nos,40 x 40,LAHC23712,2.0,M8 x 25,LCCH30002,4nos,M8,LCCH30206,0,M8,LCCH30402,8nos,M8,LCCH30410,4nos,M8 x 35,LCCH30418,4nos,40 x 40,LAHC23712,0.9,M8 x 25,LCCH30002,4nos,M8,LCCH30206,4nos,M8,LCCH30402,8nos,M8,LCCH30410,4nos,1.44,LAHC23718,1.44,LAHC23719,1.49,LAHC15557,LCCH30653,24nos
