fanBom/id,fanBom/fanDia,fanBom/fanOmega/spec,fanBom/fanOmega/code,fanBom/fanOmega/qty,fanBom/antiVibrant/spec,fanBom/antiVibrant/code,fanBom/antiVibrant/qty,fanBom/fmNutInsert/spec,fanBom/fmNutInsert/code,fanBom/fmNutInsert/qty,fanBom/fmBolt/spec,fanBom/fmBolt/code,fanBom/fmBolt/qty,fanBom/fmNut/spec,fanBom/fmNut/code,fanBom/fmNut/qty,fanBom/fmWasher/spec,fanBom/fmWasher/code,fanBom/fmWasher/qty,fanBom/fanCritical/spec,fanBom/fanCritical/code,fanBom/fanCritical/qty,fanBom/fcBolt/spec,fanBom/fcBolt/code,fanBom/fcBolt/qty,fanBom/fcNut/spec,fanBom/fcNut/code,fanBom/fcNut/qty,fanBom/fcWasher/spec,fanBom/fcWasher/code,fanBom/fcWasher/qty,fanBom/fcSpringWasher/spec,fanBom/fcSpringWasher/code,fanBom/fcSpringWasher/qty,fanBom/sqWasher/spec,fanBom/sqWasher/code,fanBom/sqWasher/qty,fanBom/motorCritical/spec,fanBom/motorCritical/code,fanBom/motorCritical/qty,fanBom/mcBolt/spec,fanBom/mcBolt/code,fanBom/mcBolt/qty,fanBom/mcNut/spec,fanBom/mcNut/code,fanBom/mcNut/qty,fanBom/mcWasher/spec,fanBom/mcWasher/code,fanBom/mcWasher/qty,fanBom/mcSpringWasher/spec,fanBom/mcSpringWasher/code,fanBom/mcSpringWasher/qty,fanBom/flexTProfile/spec,fanBom/flexTProfile/code,fanBom/flexTProfile/qty,fanBom/flexLProfile/spec,fanBom/flexLProfile/code,fanBom/flexLProfile/qty,fanBom/flexCanvas/spec,fanBom/flexCanvas/code,fanBom/flexCanvas/qty,fanBom/flexPopRivet/spec,fanBom/flexPopRivet/code,fanBom/flexPopRivet/qty
1,7-7 S,0.887,LAHC15503,0.887,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.654,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,0.638,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,0.974,,LAHC23719,0.974,,LAHC15557,1.024,,LCCH30653,24
2,8-8 S,0.92,LAHC15503,0.92,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.72,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,0.704,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.086,,LAHC23719,1.086,,LAHC15557,1.136,,LCCH30653,24
3,9-9 S,0.955,LAHC15503,0.955,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.79,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,0.726,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.12,,LAHC23719,1.12,,LAHC15557,1.17,,LCCH30653,24
4,10-10 S,1,LAHC15503,1,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.88,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,0.792,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.24,,LAHC23719,1.24,,LAHC15557,1.29,,LCCH30653,24
5,12-12S,1.066,LAHC15503,1.066,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,2.012,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,0.92,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.472,,LAHC23719,1.472,,LAHC15557,1.522,,LCCH30653,24
6,15-15 S,1.254,LAHC15503,1.254,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,2.388,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,1.072,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.75,,LAHC23719,1.75,,LAHC15557,1.8,,LCCH30653,24
7,18-18 S,1.369,LAHC15503,1.369,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,2.618,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,1.244,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,2.07,,LAHC23719,2.07,,LAHC15557,2.12,,LCCH30653,24
8,7-7 S2,0.887,LAHC15503,0.887,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.654,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,1.524,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.492,,LAHC23719,1.492,,LAHC15557,1.542,,LCCH30653,24
9,8-8 S2,0.92,LAHC15503,0.92,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.72,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,1.706,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.66,,LAHC23719,1.66,,LAHC15557,1.71,,LCCH30653,24
10,9-9 S2,0.955,LAHC15503,0.955,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.79,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,1.81,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.716,,LAHC23719,1.716,,LAHC15557,1.766,,LCCH30653,24
